Argentina;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Armenia;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Australia ;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;Holders of crypto will have to pay capital gains tax;taxation
Austria;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Azerbaijan;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Bahamas;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Bahrain;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Barbados;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Belarus;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Belgium;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Belize;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Benin;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Bermuda;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Bhutan;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Bosnia and Herzegovina;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Botswana;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Bulgaria;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Brazil;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Brunei;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Burkina Faso;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Cabo Verde;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Cameroon;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Canada;Only Accredited Investors allowed to participate - Complex/Special KYC requirements;Payment & Utility tokens;;;
Central African Republic;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Chad;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Chile;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Colombia;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Comoros;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Costa Rica;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Cote d'Ivoire;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Croatia;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Cyprus;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Czech Republic;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Democratic Republic of Congo;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Denmark;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Djibouti;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Dominica;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Dominican Republic;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Egypt;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Equatorial Guinea;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Estonia;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
European Union;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Finland;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Fiji;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
France;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Gabon;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Gambia;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Georgia;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Germany;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Ghana;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Gibraltar;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Greece;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Grenada;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Guatemala;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Guinea;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Guyana;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Haiti;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Hong Kong;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Honduras;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Hungary;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Iceland;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
India;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
Indonesia;No specific restrictions on participating in international ICOs;Payment & Utility tokens;;;
